# wav-to-duration --read-entire-file=false scp:data/train/split4utt/4/wav.scp ark,t:data/train/split4utt/4/utt2dur 
# Started at Tue Mar  9 16:42:32 UTC 2021
#
wav-to-duration --read-entire-file=false scp:data/train/split4utt/4/wav.scp ark,t:data/train/split4utt/4/utt2dur 
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 27612 bytes in RIFF chunk, but after first data block there will be 36 + 27494 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 29840 bytes in RIFF chunk, but after first data block there will be 36 + 29722 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 32812 bytes in RIFF chunk, but after first data block there will be 36 + 32694 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 26496 bytes in RIFF chunk, but after first data block there will be 36 + 26378 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 40242 bytes in RIFF chunk, but after first data block there will be 36 + 40124 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 24638 bytes in RIFF chunk, but after first data block there will be 36 + 24520 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 32440 bytes in RIFF chunk, but after first data block there will be 36 + 32322 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 27982 bytes in RIFF chunk, but after first data block there will be 36 + 27864 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 29468 bytes in RIFF chunk, but after first data block there will be 36 + 29350 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 33554 bytes in RIFF chunk, but after first data block there will be 36 + 33436 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 27982 bytes in RIFF chunk, but after first data block there will be 36 + 27864 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 35784 bytes in RIFF chunk, but after first data block there will be 36 + 35666 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 30210 bytes in RIFF chunk, but after first data block there will be 36 + 30092 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 38014 bytes in RIFF chunk, but after first data block there will be 36 + 37896 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 25754 bytes in RIFF chunk, but after first data block there will be 36 + 25636 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 33926 bytes in RIFF chunk, but after first data block there will be 36 + 33808 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 32812 bytes in RIFF chunk, but after first data block there will be 36 + 32694 bytes (we do not support reading multiple data chunks).
WARNING (wav-to-duration[5.5.0~1494-e5a5]:Read():wave-reader.cc:260) Expected 28354 bytes in RIFF chunk, but after first data block there will be 36 + 28236 bytes (we do not support reading multiple data chunks).
LOG (wav-to-duration[5.5.0~1494-e5a5]:main():wav-to-duration.cc:92) Printed duration for 41 audio files.
LOG (wav-to-duration[5.5.0~1494-e5a5]:main():wav-to-duration.cc:94) Mean duration was 1.24875, min and max durations were 0.557312, 2.756
# Accounting: time=1 threads=1
# Ended (code 0) at Tue Mar  9 16:42:33 UTC 2021, elapsed time 1 seconds
